X Axis;Y Axis;Z Axis;speed;std speed;flashes;height;flash time;number of flashes;time;direction
2;2;0;1.365.546.202;2.090.063.387;0.954287069;0.956438367;4.069.565.217;69;1.965.056.083;U
2;3;0;2.763.165.432;2.303.265.329;0.997178919;0.974494414;4.305.714.286;175;196.904.096;U
2;4;1;-3.541.260.564;2.405.388.204;0.990858617;0.966849509;4.445.173.745;259;1.999.392.078;U
2;5;0;-1.221.567.366;2.230.865.207;0.988395993;0.936999077;4.561.728.395;486;1.991.115.423;U
2;6;0;-1.769.105.489;2.254.170.277;0.979103645;0.888737779;4.617.405.063;632;2.014.177.002;U
2;7;0;-2.467.274.474;2.122.634.647;0.97399349;0.849626625;4.878.230.337;712;1.998.618.466;U
2;9;0;-3.318.335.777;1.817.227.701;0.963313233;0.806093176;5.473.357.664;822;2.014.762.328;U
2;12;0;-4.025.353.312;1.443.761.486;0.930897209;0.715022677;61;537;1.990.626.029;V
2;15;0;-435.755.915;1.233.041.227;0.924458389;0.704389745;630.972.973;555;1.990.265.556;V
2;17;0;-4.268.642.384;138.492.285;0.93160421;0.707692579;6.070.242.215;867;2.013.243.988;U
2;19;0;-3.911.230.409;1.501.358.348;0.936376978;0.722614576;5.571.189.979;1437;1.998.463.483;U
2;22;0;-2.998.042.173;1.941.029.989;0.948005104;0.76571158;4.895.801.527;1572;2.011.150.389;U
2;24;0;-1.614.284.236;2.269.118.778;0.966660045;0.842744997;4.613.706.564;1036;1.996.457.065;V
2;25;0;-6.063.527.336;246.816.704;0.974084727;0.869631224;4.426.838.966;1006;2.017.632.064;U
2;26;0;1.242.379.822;2.347.126.915;0.977851656;0.907552617;4.343.573.668;638;2.012.957.735;V
2;27;0;8.979.519.897;2.393.814.826;0.981230423;0.924150058;4.113.360.324;494;2.006.014.395;U
2;28;0;1.924.491.715;2.165.674.735;0.988595741;0.941899334;3.956.779.661;354;1.990.847.963;U
2;29;0;2.862.259.377;1.901.320.553;0.993000321;0.978161335;4.085.826.772;254;1.995.364.218;U
2;30;0;3.121.629.173;2.048.232.901;0.820177505;0.805366089;41.75;12;1.584.226.135;U
2;31;0;155.578.144;3.708.439.491;0.815701485;0.957061112;36.5;2;0.15272495;U
2;32;0;;;;;;0;;U
2;33;0;;;;;;0;;U
3;1;0;1.172.930.199;2.439.294.002;0.587426567;0.687525749;33.2;5;1.778.202.127;U
3;2;0;2.370.021.772;1.807.625.601;0.891801336;0.891630426;40.25;40;1.913.130.537;U
3;3;0;1.103.510.871;2.399.957.129;0.995827754;0.977150704;4.380.102.041;196;1.974.970.664;U
3;4;0;3.065.758.954;2.487.523.123;0.988981086;0.962829022;43.625;256;2.001.475.181;U
3;5;0;-7.701.289.925;235.791.574;0.985277025;0.929464183;4.466.176.471;340;2.007.383.515;U
3;6;0;-152.360.291;2.187.029.476;0.985654096;0.908445418;4.768.141.593;339;2.015.875.865;U
3;7;0;-2.233.430.313;2.248.131.371;0.982668068;0.898077393;48.5;502;1.991.820.239;U
3;9;0;-3.086.213.017;182.093.616;0.982432155;0.856171788;5.664.090.909;660;2.013.644.854;U
3;12;0;-3.908.257.178;1.525.258.396;0.937274522;0.72941049;6.022.330.097;515;1.989.570.555;U
3;15;0;-4.326.156.446;129.186.054;0.934955614;0.699707267;6.447.203.947;608;1.997.053.646;U
3;17;0;-4.181.085.465;137.656.969;0.927237714;0.712995372;6.145.201.238;646;1.998.152.734;V
3;19;0;-3.880.161.649;1.572.611.543;0.928654058;0.725817061;5.734.142.114;577;1.997.103.077;U
3;22;0;-2.745.658.546;1.895.460.159;0.941619592;0.748103937;4.959.688.826;707;1.993.256.571;U
3;24;0;-1.528.144.269;227.039.797;0.960771226;0.834316085;451.816.118;881;1.993.211.751;V
3;25;0;-5.442.633.319;2.428.304.679;0.972381225;0.866530127;4.440.462.889;1253;1.994.944.943;U
3;26;0;3.567.360.823;2.513.161.712;0.982429421;0.899305032;4.330.769.231;559;1.997.787.352;U
3;27;0;1.513.353.562;226.695.482;0.984256087;0.912767901;40.925;360;2.013.479.293;U
3;28;0;189.003.015;2.037.583.041;0.986233926;0.929951323;41.15;200;2.005.376.253;U
3;29;0;2.860.420.396;1.881.567.236;0.993549791;0.958307806;405.787.234;235;1.980.286.578;U
3;30;0;3.459.229.363;1.519.580.657;0.977224569;0.960875508;4.177.647.059;85;1.920.823.617;U
